Commune,Canton
Alvaschein,GR
Aadorf,TG
Aarau,AG
Aarberg,BE
Aarburg,AG
Aarwangen,BE
Aawangen,TG
Abtwil,AG
Aclens,VD
Acquarossa,TI
Adelboden,BE
Adligenswil,LU
Adlikon,ZH
Adliswil,ZH
Aedermannsdorf,SO
Aefligen,BE
Aegerisee,ZG
Aegerten,BE
Aesch (BL),BL
Aesch (LU),LU
Aesch (ZH),ZH
Aesch bei Birmensdorf,ZH
Aeschi (SO),SO
Aeschi bei Spiez,BE
Aeschlen,BE
Aetigkofen,SO
Aetingen,SO
Aeugst,ZH
Aeugst am Albis,ZH
Affeltrangen,TG
Affoltern am Albis,ZH
Affoltern im Emmental,BE
Agarn,VS
Agettes,VS
Agiez,VD
Agno,TI
Agra,TI
Agriswil,FR
Aigle,VD
Aire-la-Ville,GE
Airolo,TI
Alberswil,LU
Albeuve,FR
Albinen,VS
Albligen,BE
Albula/Alvra,GR
Alchenstorf,BE
Allaman,VD
Alle,BE
Alle,JU
Allmendingen,BE
Allschwil,BL
Almens,GR
Alpnach,OW
Alpthal,SZ
Alt St. Johann,SG
Altavilla,FR
Altburon,LU
Altdorf (SH),SH
Altdorf (UR),UR
Altendorf,SZ
Alterswil,FR
Alterswilen,TG
Altikon,ZH
Altishausen,TG
Altishofen,LU
Altnau,TG
Alto Malcantone,TI
Altstatten,SG
Altwis,LU
Alvaneu,GR
Amden,SG
Amlikon,TG
Amlikon-Bissegg,TG
Ammannsegg,SO
Ammerswil,AG
Amriswil,TG
Amsoldingen,BE
Andeer,GR
Andelfingen,ZH
Andermatt,UR
Andhausen,TG
Andiast,GR
Andwil (SG),SG
Andwil (TG),TG
Anetswil,TG
Anieres,GE
Anniviers,VS
Anwil,BL
Anzonico,TI
Appenzell,AI
Apples,VD
Aquila,TI
Aranno,TI
Arbaz,VS
Arbedo-Castione,TI
Arboldswil,BL
Arbon,TG
Arch,BE
Arconciel,FR
Ardez,GR
Ardon,VS
Arisdorf,BL
Aristau,AG
Arlesheim,BL
Arnex-sur-Nyon,VD
Arnex-sur-Orbe,VD
Arni,BE
Arni (AG),AG
Arni (BE),BE
Arni-Islisberg,AG
Arogno,TI
Arosa,GR
Arosio,TI
Arrissoules,VD
Arth,SZ
Arvigo,GR
Arzier,VD
Arzier-Le Muids,VD
Arzo,TI
Ascona,TI
Assens,VD
Astano,TI
Asuel,BE
Asuel,JU
Attalens,FR
Attelwil,AG
Attinghausen,UR
Attiswil,BE
Au (SG),SG
Au (TG),TG
Aubonne,VD
Auboranges,FR
Auenstein,AG
Augio,GR
Augst,BL
Aumont,FR
Auressio,TI
Aurigeno,TI
Ausserberg,VS
Ausserbinn,VS
Ausserferrera,GR
Auswil,BE
Autafond,FR
Autavaux,FR
Autigny,FR
Auvernier,NE
Auw,AG
Avegno,TI
Avegno Gordevio,TI
Avenches,VD
Avers,GR
Avry,FR
Avry-devant-Pont,FR
Avry-sur-Matran,FR
Avully,GE
Avusy,GE
Ayent,VS
Ayer,VS
Baar,ZG
Bachenbulach,ZH
Bachs,ZH
Bad Ragaz,SG
Bad Zurzach,AG
Baden,AG
Bagnes,VS
Baldeggersee,LU
Baldingen,AG
Balerna,TI
Balgach,SG
Ballaigues,VD
Ballens,VD
Ballmoos,BE
Ballwil,LU
Balm bei Gunsberg,SO
Balm bei Messen,SO
Balsthal,SO
Balterswil,TG
Baltschieder,VS
Bangerten,BE
Bannwil,BE
Barbengo,TI
Barbereche,FR
Bardonnex,GE
Baretswil,ZH
Bargen (BE),BE
Bargen (SH),SH
Bariswil,BE
Barschwil,SO
Barzheim,SH
Basadingen,TG
Basadingen-Schlattingen,TG
Basel,BS
Bas-Intyamon,FR
Basse-Allaine,JU
Bassecourt,BE
Bassecourt,JU
Bassersdorf,ZH
Bassins,VD
Bas-Vully,FR
Batterkinden,BE
Battwil,SO
Bauen,UR
Baulmes,VD
Bauma,ZH
Bavois,VD
Beatenberg,BE
Beckenried,NW
Bedano,TI
Bedigliora,TI
Bedretto,TI
Beggingen,SH
Begnins,VD
Beinwil (Freiamt),AG
Beinwil (SO),SO
Beinwil am See,AG
Belfaux,FR
Bellach,SO
Bellerive (VD),VD
Bellevue,GE
Bellikon,AG
Bellinzona,TI
Bellmund,BE
Bellwald,VS
Belmont-Broye,FR
Belmont-sur-Lausanne,VD
Belmont-sur-Yverdon,VD
Belp,BE
Belpberg,BE
Belprahon,BE
Benken (BL),BL
Benken (SG),SG
Benken (ZH),ZH
Bennwil,BL
Benzenschwil,AG
Bercher,VD
Berg (SG),SG
Berg (TG),TG
Berg am Irchel,ZH
Bergdietikon,AG
Bergun/Bravuogn,GR
Berikon,AG
Beringen,SH
Berken,BE
Berlens,FR
Berlingen,TG
Bern,BE
Berneck,SG
Bernex,GE
Berolle,VD
Beromunster,LU
Bertschikon,ZH
Berzona,TI
Besazio,TI
Besenburen,AG
Besencens,FR
Betschwanden,GL
Betten,VS
Bettenhausen,BE
Bettens,VD
Bettingen,BS
Bettlach,SO
Bettmeralp,VS
Bettwiesen,TG
Bettwil,AG
Beurnevesin,BE
Beurnevesin,JU
Bevaix,NE
Bever,GR
Bevilard,BE
Bex,VD
Biasca,TI
Biberist,SO
Bibern (SH),SH
Bibern (SO),SO
Biberstein,AG
Bichelsee,TG
Bichelsee-Balterswil,TG
Bière,VD
Bidogno,TI
Biel (BE),BE
Biel (BL),BL
Biel (VS),VS
Biel/Bienne,BE
Biel-Benken,BL
Bielersee / Lac de Bienne (BE),BE
Bielersee / Lac de Bienne (NE),NE
Biessenhofen,TG
Biezwil,SO
Biglen,BE
Bignasco,TI
Billens,FR
Billens-Hennens,FR
Bilten,GL
Binn,VS
Binningen,BL
Bioggio,TI
Biogno-Beride,TI
Bioley-Magnoux,VD
Bioley-Orjulaz,VD
Bionnens,FR
Birgisch,VS
Birmensdorf (ZH),ZH
Birmenstorf (AG),AG
Bironico,TI
Birr,AG
Birrhard,AG
Birrwil,AG
Birsfelden,BL
Birwinken,TG
Bischofszell,TG
Bissegg,TG
Bissone,TI
Bister,VS
Bitsch,VS
Bivio,GR
Blatten,VS
Blauen,BE
Blauen,BL
Bleienbach,BE
Bleiken (TG),TG
Bleiken bei Oberdiessbach,BE
Blenio,TI
Blessens,FR
Blitzingen,VS
Blonay,VD
Blumenstein,BE
Bobikon,AG
Bockten,BL
Bodensee (SG),SG
Bodensee (SH),SH
Bodensee (TG),TG
Bodio,TI
Boecourt,BE
Boecourt,JU
Bofflens,VD
Bogis-Bossey,VD
Bogno,TI
Bole,NE
Bolken,SO
Bolligen,BE
Bollion,FR
Bollodingen,BE
Boltigen,BE
Bonaduz,GR
Bonau,TG
Boncourt,BE
Boncourt,JU
Bondo,GR
Bonfol,BE
Bonfol,JU
Bonigen,BE
Boningen,SO
Boniswil,AG
Bonnefontaine,FR
Bonstetten,ZH
Bonvillars,VD
Boppelsen,ZH
Borex,VD
Borgnone,TI
Bosco Luganese,TI
Bosco/Gurin,TI
Bosingen,FR
Bossonnens,FR
Boswil,AG
Bottens,VD
Bottenwil,AG
Botterens,FR
Bottighofen,TG
Bottmingen,BL
Bottstein,AG
Boudevilliers,NE
Boudry,NE
Bougy-Villars,VD
Boulens,VD
Bouloz,FR
Bourg-en-Lavaux,VD
Bourg-Saint-Pierre,VS
Bournens,VD
Bourrignon,BE
Bourrignon,JU
Boussens,VD
Boveresse,NE
Bovernier,VS
Bowil,BE
Bozberg,AG
Bozen,AG
Braggio,GR
Bramois,VS
Bratsch,VS
Braunau,TG
Braunwald,GL
Brè-Aldesago,TI
Bregaglia,GR
Breganzona,TI
Breggia,TI
Breil/Brigels,GR
Breitenbach,SO
Bremblens,VD
Bremgarten (AG),AG
Bremgarten bei Bern,BE
Brenles,VD
Breno,TI
Brenzikofen,BE
Bressaucourt,BE
Bressaucourt,JU
Bretigny-sur-Morrens,VD
Bretonnières,VD
Bretzwil,BL
Brienz (BE),BE
Brienz (GR),GR
Brienz/Brinzauls,GR
Brienzersee,BE
Brienzwiler,BE
Brig,VS
Brigerbad,VS
Brig-Glis,VS
Brione (Verzasca),TI
Brione sopra Minusio,TI
Brislach,BE
Brislach,BL
Brissago,TI
Brittnau,AG
Broc,FR
Broglio,TI
Bronschhofen,SG
Brontallo,TI
Brot-Dessous,NE
Brot-Plamboz,NE
Brugg,AG
Brugg,BE
Brugglen,SO
Brunegg,AG
Brunisried,FR
Brunnadern,SG
Brunnenthal,SO
Brusino Arsizio,TI
Brusio,GR
Bruttelen,BE
Brutten,ZH
Bruzella,TI
Bubendorf,BL
Bubikon,ZH
Buch (SH),SH
Buch am Irchel,ZH
Buch bei Frauenfeld,TG
Buch bei Marwil,TG
Buchackern,TG
Buchberg,SH
Buchegg,SO
Buchholterberg,BE
Buchillon,VD
Buchrain,LU
Buchs (AG),AG
Buchs (LU),LU
Buchs (SG),SG
Buchs (ZH),ZH
Buchslen,FR
Buckten,BL
Buetigen,BE
Buhl,BE
Buhler,AR
Buhwil,TG
Buix,BE
Buix,JU
Bulach,ZH
Bulle,FR
Bullet,VD
Bunzen,AG
Buochs,NW
Burchen,VS
Bure,BE
Bure,JU
Buren (SO),SO
Buren an der Aare,BE
Buren zum Hof,BE
Burg (AG),AG
Burg bei Murten,FR
Burg im Leimental,BE
Burg im Leimental,BL
Burgaschi,SO
Burgdorf,BE
Burgistein,BE
Burglen (TG),TG
Burglen (UR),UR
Buron,LU
Bursinel,VD
Bursins,VD
Burtigny,VD
Buseno,GR
Busserach,SO
Bussigny,VD
Bussigny-près-Lausanne,VD
Bussigny-sur-Oron,VD
Bussnang,TG
Busswil (TG),TG
Busswil bei Buren,BE
Busswil bei Melchnau,BE
Bussy (FR),FR
Bussy-Chardonney,VD
Bussy-sur-Morges,VD
Bussy-sur-Moudon,VD
Butschwil,SG
Butschwil-Ganterschwil,SG
Buttenhardt,SH
Buttes,NE
Buttikon,AG
Buttisholz,LU
Buttwil,AG
Buus,BL
Cabbio,TI
Cademario,TI
Cadempino,TI
Cadenazzo,TI
Cadro,TI
Cagiallo,TI
Calanca,GR
Calfreisen,GR
Calonico,TI
Calpiogna,TI
Cama,GR
Camignolo,TI
Camorino,TI
Campello,TI
Campestro,TI
Campo (Blenio),TI
Campo (Vallemaggia),TI
Camuns,GR
Caneggio,TI
Canobbio,TI
Capolago,TI
Capriasca,TI
Carabbia,TI
Carabietta,TI
Carona,TI
Carouge (GE),GE
Carrouge (VD),VD
Cartigny,GE
Casaccia,GR
Casima,TI
Caslano,TI
Castagnola,TI
Castaneda,GR
Castasegna,GR
Castel San Pietro,TI
Castiel,GR
Casti-Wergenstein,GR
Castrisch,GR
Castro,TI
Cauco,GR
Cavagnago,TI
Cavergno,TI
Caviano,TI
Cavigliano,TI
Cazis,GR
Celerina/Schlarigna,GR
Celigny,GE
Centovalli,TI
Cerentino,TI
Cerniat (FR),FR
Cerniaz (VD),VD
Cernier,NE
Certara,TI
Cevio,TI
Chables,FR
Chabrey,VD
Chalais,VS
Cham,ZG
Chamblon,VD
Chamoson,VS
Champagne,VD
Champery,VS
Champmartin,VD
Champoz,BE
Champtauroz,VD
Champvent,VD
Chancy,GE
Chandolin,VS
Chandon,FR
Chandossel,FR
Chaneaz,VD
Chapelle (Broye),FR
Chapelle (Glane),FR
Chapelle-sur-Moudon,VD
Chardonne,VD
Chardonney-sur-Morges,VD
Charmey,FR
Charmoille,BE
Charmoille,JU
Charrat,VS
Chateau-d'Oex,VD
Chatelat,BE
Chatel-Saint-Denis,FR
Chatel-sur-Montsalvens,FR
Chatillens,VD
Chatillon (BE),BE
Chatillon (FR),FR
Chatillon (JU),JU
Chatonnaye,FR
Chavannes-de-Bogis,VD
Chavannes-des-Bois,VD
Chavannes-le-Chène,VD
Chavannes-les-Forts,FR
Chavannes-le-Veyron,VD
Chavannes-près-Renens,VD
Chavannes-sous-Orsonnens,FR
Chavannes-sur-Moudon,VD
Chavornay,VD
Cheiry,FR
Chène-Bougeries,GE
Chène-Bourg,GE
Chenens,FR
Chène-Paquier,VD
Chermignon,VS
Chesalles,FR
Chesalles-sur-Moudon,VD
Chesalles-sur-Oron,VD
Cheseaux-Noreaz,VD
Cheseaux-sur-Lausanne,VD
Cheserex,VD
Chesopelloz,FR
Chessel,VD
Chevenez,BE
Chevenez,JU
Chevilly,VD
Chevroux,VD
Chexbres,VD
Cheyres,FR
Cheyres-Chables,FR
Chezard-Saint-Martin,NE
Chiasso,TI
Chiggiogna,TI
Chigny,VD
Chippis,VS
Chironico,TI
Choulex,GE
Chur,GR
Churwalden,GR
Cimadera,TI
Cimo,TI
Clarmont,VD
Claro,TI
Clavaleyres,BE
Clos du Doubs,JU
Clugin,GR
Coeuve,BE
Coeuve,JU
Coffrane,NE
Coglio,TI
Coinsins,VD
Coldrerio,TI
Collex-Bossy,GE
Collina d'Oro,TI
Collombey-Muraz,VS
Collonge-Bellerive,GE
Collonges,VS
Cologny,GE
Colombier (NE),NE
Colombier (VD),VD
Comano,TI
Combremont-le-Grand,VD
